short_ref,pmid_or_doi,citation
Liu 2023,10.1016/j.cub.2023.10.053,"Liu, A. K. et al. Deep-branching evolutionary intermediates reveal structural origins of form I rubisco. Current Biology 33, 5316-5325.e3 (2023)."
Long 2018,30177711,"Long, B. M. et al. Carboxysome encapsulation of the CO2-fixing enzyme Rubisco in tobacco chloroplasts. Nat Commun 9, 3570 (2018)."
Makino 1985,16664401,"Makino, A., Mae, T. & Ohira, K. Enzymic Properties of Ribulose-1,5-bisphosphate Carboxylase/Oxygenase Purified from Rice Leaves. Plant Physiol 79, 57–61 (1985)."
Makino 1987,10.1093/oxfordjournals.pcp.a077360,"Makino, A., Mae, T. & Ohira, K. Variations in the Contents and Kinetic Properties of Ribulose-1,5-bisphosphate Carboxylases among Rice Species. Plant and Cell Physiology 28, 799–804 (1987)."
Makino 1988,24221414,"Makino, A., Mae, T. & Ohira, K. Differences between wheat and rice in the enzymic properties of ribulose-1,5-bisphosphate carboxylase/oxygenase and the relationship to photosynthetic gas exchange. Planta 174, 30–38 (1988)."
Mate 1993,8278543,"Mate, C. J., Hudson, G. S., von Caemmerer, S., Evans, J. R. & Andrews, T. J. Reduction of ribulose biphosphate carboxylase activase levels in tobacco (Nicotiana tabacum) by antisense RNA reduces ribulose biphosphate carboxylase carbamylation and impairs photosynthesis. Plant Physiol 102, 1119–1128 (1993)."
Mcfadden 1975,10.1111/j.1432-1033.1975.tb04129.x,"McFadden, B. A., Lord, J. M., Rowe, A. & Dilks, S. Composition, Quaternary Structure, and Catalytic Properties of d ‐Ribulose‐1,5‐Bisphosphate Carboxylase from Euglena gracilis. European Journal of Biochemistry 54, 195–206 (1975)."
Morell 1990,10.1016/0014-5793(90)80879-N,"Morell, M. K., Kane, H. J. & Andrews, T. J. Carboxylterminal deletion mutants of ribulosebisphosphate carboxylase from Rhodospirillum rubrum. FEBS Letters 265, 41–45 (1990)."
Morell 1994,8132534,"Morell, M. K., Paul, K., O’Shea, N. J., Kane, H. J. & Andrews, T. J. Mutations of an active site threonyl residue promote beta elimination and other side reactions of the enediol intermediate of the ribulosebisphosphate carboxylase reaction. J Biol Chem 269, 8091–8098 (1994)."
Mueller-Cajar 2007,18004873,"Mueller-Cajar, O., Morell, M. & Whitney, S. M. Directed evolution of rubisco in Escherichia coli reveals a specificity-determining hydrogen bond in the form II enzyme. Biochemistry 46, 14067–14074 (2007)."
Newman 1989,16667160,"Newman, S. M., Derocher, J. & Cattolico, R. A. Analysis of Chromophytic and Rhodophytic Ribulose-1,5-Bisphosphate Carboxylase Indicates Extensive Structural and Functional Similarities among Evolutionarily Diverse Algae. Plant Physiol 91, 939–946 (1989)."
Occhialini 2015,26662726,"Occhialini, A., Lin, M. T., Andralojc, P. J., Hanson, M. R. & Parry, M. A. J. Transgenic tobacco plants with improved cyanobacterial Rubisco expression but no extra assembly factors grow at near wild-type rates if provided with elevated CO2. Plant J 85, 148–160 (2016)."
Oh 2024,10.1016/j.molp.2024.10.013,"Oh, Z. G. et al. Unique biogenesis and kinetics of hornwort Rubiscos revealed by synthetic biology systems. Molecular Plant 17, 1833–1849 (2024)."
Orr 2016,27342312,"Orr, D. J. et al. Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol 172, 707–717 (2016)."
Palmqvist 1995,10.1007/BF00202657,"Palmqvist, K., Sültemeyer, D., Baldet, P., Andrews, T. J. & Badger, MurrayR. Characterisation of inorganic carbon fluxes, carbonic anhydrase(s) and ribulose-1,5-biphosphate carboxylase-oxygenase in the green unicellular alga Coccomyxa: Comparisons with Iow-CO2 cells of Chlamydomonas reinhardtii. Planta 197, (1995)."
Parry 1989,10.1093/jxb/40.3.317,"Parry, M. A. J., Keys, A. J. & Gutteridge, S. Variation in the Specificity Factor of C3 Higher Plant Rubiscos Determined by the Total Consumption of Ribulose-P2. J Exp Bot 40, 317–320 (1989)."
Parry 1993,na,"Parry, M. et al. Water stress and the diurnal activity of ribulose-1, 5-bisphosphate carboxylase in field grown Nicotiana tabacum genotypes selected for survival at low CO. Plant Physiology and Biochemistry 31, 113–120 (1993)."
Parry 2007,10.1017/S0021859606006666,"Parry, M. A. J., Madgwick, P. J., Carvalho, J. F. C. & Andralojc, P. J. Prospects for increasing photosynthesis by overcoming the limitations of Rubisco. J. Agric. Sci. 145, 31–43 (2007)."
Paul 1991,10.1021/bi00105a029,"Paul, K., Morell, M. K. & Andrews, T. J. Mutations in the small subunit of ribulosebisphosphate carboxylase affect subunit binding and catalysis. Biochemistry 30, 10019–10026 (1991)."
Pearce 2006,16822231,"Pearce, F. G. Catalytic by-product formation and ligand binding by ribulose bisphosphate carboxylases from different phylogenies. Biochem J 399, 525–534 (2006)."
Perdomo 2015,25663529,"Perdomo, J. A., Cavanagh, A. P., Kubien, D. S. & Galmés, J. Temperature dependence of in vitro Rubisco kinetics in species of Flaveria with different photosynthetic mechanisms. Photosynth Res 124, 67–75 (2015)."
Prins 2016,26798025,"Prins, A. et al. Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J Exp Bot 67, 1827–1838 (2016)."
Purohit 1976,819423,"Purohit, K., McFadden, B. A. & Cohen, A. L. Purification, quaternary structure, composition, and properties of D-ribulose-1,5-bisphosphate carboxylase from Thiobacillus intermedius. J Bacteriol 127, 505–515 (1976)."
Purohit 1979,10.1016/0003-9861(79)90599-x ,"Purohit, K. & McFadden, B. A. Ribulose 1,5-bisphosphate carboxylase and oxygenase from Thiocapsa roseopersicina: Activation and catalysis. Archives of Biochemistry and Biophysics 194, 101–106 (1979)."
Read 1992a,1731909,"Read, B. A. & Tabita, F. R. Amino acid substitutions in the small subunit of ribulose-1,5-bisphosphate carboxylase/oxygenase that influence catalytic activity of the holoenzyme. Biochemistry 31, 519–525 (1992)."
Read 1992b,1610800,"Read, B. A. & Tabita, F. R. A hybrid ribulose bisphosphate carboxylase/oxygenase enzyme exhibiting a substantial increase in substrate specificity factor. Biochemistry 31, 5553–5560 (1992)."
Read 1994,8031129,"Read, B. A. & Tabita, F. R. High substrate specificity factor ribulose bisphosphate carboxylase/oxygenase from eukaryotic marine algae and properties of recombinant cyanobacterial RubiSCO containing ‘algal’ residue modifications. Arch Biochem Biophys 312, 210–218 (1994)."
Robinson 2003,10.4319/lo.2003.48.1.0048,"Robinson, J. J. et al. Kinetic isotope effect and characterization of form II RubisCO from the chemoautotrophic endosymbionts of the hydrothermal vent tubeworm Riftia pachyptila. Limnology & Oceanography 48, 48–54 (2003)."
Rosnow 2015,26417023,"Rosnow, J. J. et al. Kranz and single-cell forms of C4 plants in the subfamily Suaedoideae show kinetic C4 convergence for PEPC and Rubisco with divergent amino acid substitutions. J Exp Bot 66, 7347–7358 (2015)."
Sáez 2017,28830100,"Sáez, P. L. et al. Photosynthetic limitations in two Antarctic vascular plants: importance of leaf anatomical traits and Rubisco kinetic parameters. J Exp Bot 68, 2871–2883 (2017)."
Sage 1993,24318752,"Sage, R. F. Light-dependent modulation of ribulose-1,5-bisphosphate carboxylase/oxygenase activity in the genus Phaseolus. Photosynth Res 35, 219–226 (1993)."
Sage 1997,10.1016/S1146-609X(97)80004-5,"Sage, R. F., Schäppi, B. & Körner, C. Effect of atmospheric CO2 enrichment on rubisco content in herbaceous species from high and low altitude. Acta Oecologica 18, 183–192 (1997)."
Sage 2002a,10.1023/A:1015510005536,"Sage, R. F., Cen, Y.-P. & Li, M. The activation state of Rubisco directly limits photosynthesis at low CO2 and low O2 partial pressures. Photosynthesis Research 71, 241–250 (2002)."
Sage 2002b,11886880,"Sage, R. F. Variation in the k(cat) of Rubisco in C(3) and C(4) plants and some implications for photosynthetic performance at high and low temperature. J Exp Bot 53, 609–620 (2002)."
Sakata 2024,10.1111/nph.19820,"Sakata, T. et al. Interspecific variation in Rubisco CO2 / O2 specificity along the leaf economic spectrum across 23 woody angiosperm plants in the Pacific islands. New Phytologist 243, 951–965 (2024)."
Satagopan 2014,24942737,"Satagopan, S., Chan, S., Perry, L. J. & Tabita, F. R. Structure-function studies with the unique hexameric form II ribulose-1,5-bisphosphate carboxylase/oxygenase (Rubisco) from Rhodopseudomonas palustris. J Biol Chem 289, 21433–21450 (2014)."
Satagopan and Spreitzer 2008,18664299,"Satagopan, S. & Spreitzer, R. J. Plant-like substitutions in the large-subunit carboxy terminus of Chlamydomonas Rubisco increase CO2/O2 specificity. BMC Plant Biol 8, 85 (2008)."
Schloss 1982,6818424,"Schloss, J. V. et al. Ribulose bisphosphate carboxylase/oxygenase from Rhodospirillum rubrum. Methods Enzymol 90 Pt E, 522–528 (1982)."
Schulz 2022,10.1126/science.abq1416,"Schulz, L. et al. Evolution of increased complexity and specificity at the dawn of form I Rubiscos. Science 378, 155–160 (2022)."
Schwedock 2004,15316720,"Schwedock, J. et al. Characterization and expression of genes from the RubisCO gene cluster of the chemoautotrophic symbiont of Solemya velum: cbbLSQO. Arch Microbiol 182, 18–29 (2004)."
Seemann 1984,16663511,"Seemann, J. R., Badger, M. R. & Berry, J. A. Variations in the Specific Activity of Ribulose-1,5-bisphosphate Carboxylase between Species Utilizing Differing Photosynthetic Pathways. Plant Physiol 74, 791–794 (1984)."
Seemann 1988,16666256,"Seemann, J. R., Kirschbaum, M. U., Sharkey, T. D. & Pearcy, R. W. Regulation of Ribulose-1,5-Bisphosphate Carboxylase Activity in Alocasia macrorrhiza in Response to Step Changes in Irradiance. Plant Physiol 88, 148–152 (1988)."
Sharwood 2008,17993544,"Sharwood, R. E., von Caemmerer, S., Maliga, P. & Whitney, S. M. The catalytic properties of hybrid Rubisco comprising tobacco small and sunflower large subunits mirror the kinetically equivalent source Rubiscos and can support tobacco growth. Plant Physiol 146, 83–96 (2008)."
Sharwood 2016a,10.1016/j.pbi.2016.04.002,"Sharwood, R. E., Ghannoum, O. & Whitney, S. M. Prospects for improving CO2 fixation in C3-crops through understanding C4-Rubisco biogenesis and catalytic diversity. Current Opinion in Plant Biology 31, 135–142 (2016)."
Sharwood 2016b,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H. & Whitney, S. M. Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186 (2016)."
Sharwood 2017,28064178,"Sharwood, R. E., Crous, K. Y., Whitney, S. M., Ellsworth, D. S. & Ghannoum, O. Linking photosynthesis and leaf N allocation under future elevated CO2 and climate warming in Eucalyptus globulus. J Exp Bot 68, 1157–1167 (2017)."
Shih 2016,26790750,"Shih, P. M. et al. Biochemical characterization of predicted Precambrian RuBisCO. Nat Commun 7, 10382 (2016)."
Shively 1978,659365,"Shively, J. M., Saluja, A. & McFadden, B. A. Ribulose bisphosphate carboxylase from methanol-grown Paracoccus denitrificans. J Bacteriol 134, 1123–1132 (1978)."
Snead and Shively 1979,10.1007/BF02601689,"Snead, R. M. & Shively, J. M. d-Ribulose-1,5-biphosphate carboxylase fromThiobacillus neapolitanus. Current Microbiology 1, 309–314 (1978)."
Steensma 2025,10.1093/plphys/kiae629,"Steensma, A. K. et al. Modeling with uncertainty quantification reveals the essentials of a non-canonical algal carbon-concentrating mechanism. Plant Physiology 197, kiae629 (2025)."
Sugawara 2025,10.1007/s10265-024-01606-4,"Sugawara, S., Ito, K., Miyazawa, S.-I., Makino, A. & Suzuki, Y. Enzymatic and quantitative properties of Rubisco in some conifers and lycopods. J Plant Res 138, 315–321 (2025)."
Terzaghi 1986,3092806,"Terzaghi, B. E., Laing, W. A., Christeller, J. T., Petersen, G. B. & Hill, D. F. Ribulose 1,5-bisphosphate carboxylase. Effect on the catalytic properties of changing methionine-330 to leucine in the Rhodospirillum rubrum enzyme. Biochem J 235, 839–846 (1986)."
Tsai 2025,10.1038/s44318-025-00419-y,"Tsai, Y.-C. C., Guo, Z., Milo, R. & Mueller-Cajar, O. Updated values for Table 1 of fastest rubisco carboxylation rates in Davidi et al 2020. EMBO J 44, 2397–2399 (2025)."
Uemura 1996,10.1093/oxfordjournals.pcp.a028949,"Uemura, K. et al. A Rapid and Sensitive Method for Determination of Relative Specificity of RuBisCO from Various Species by Anion-Exchange Chromatography. Plant and Cell Physiology 37, 325–331 (1996)."
Uemura 1997,9144578,"Uemura, K., Anwaruzzaman,    null, Miyachi, S. & Yokota, A. Ribulose-1,5-bisphosphate carboxylase/oxygenase from thermophilic red algae with a strong specificity for CO2 fixation. Biochem Biophys Res Commun 233, 568–571 (1997)."
Valegård 2018,29925588,"Valegård, K. et al. Structural and functional analyses of Rubisco from arctic diatom species reveal unusual posttranslational modifications. J Biol Chem 293, 13033–13043 (2018)."
Viale 1990,2211708,"Viale, A. M., Kobayashi, H. & Akazawa, T. Distinct properties of Escherichia coli products of plant-type ribulose-1,5-bisphosphate carboxylase/oxygenase directed by two sets of genes from the photosynthetic bacterium Chromatium vinosum. J Biol Chem 265, 18386–18392 (1990)."
Wang 2001,10.1006/abbi.2001.2555,"Wang, Y.-L., Zhou, J.-H., Wang, Y.-F., Bao, J.-S. & Chen, H.-B. Properties of Hybrid Enzymes between Synechococcus Large Subunits and Higher Plant Small Subunits of Ribulose-1,5-bisphosphate Carboxylase/Oxygenase in Escherichia coli. Archives of Biochemistry and Biophysics 396, 35–42 (2001)."
Whitehead 2014,10.1104/pp.114.237941,"Whitehead, L., Long, B. M., Price, G. D. & Badger, M. R. Comparing the in Vivo Function of α-Carboxysomes and β-Carboxysomes in Two Model Cyanobacteria. Plant Physiol. 165, 398–411 (2014)."
Whitney 2001,11439139,"Whitney, S. M., Baldet, P., Hudson, G. S. & Andrews, T. J. Form I Rubiscos from non-green algae are expressed abundantly but not assembled in tobacco chloroplasts. Plant J 26, 535–547 (2001)."
Whitney 2011,21849620,"Whitney, S. M. et al. Isoleucine 309 acts as a C4 catalytic switch that increases ribulose-1,5-bisphosphate carboxylase/oxygenase (rubisco) carboxylation rate in Flaveria. Proc Natl Acad Sci U S A 108, 14688–14693 (2011)."
Whitney and Sharwood 2007,10.1074/jbc.M610479200,"Whitney, S. M. & Sharwood, R. E. Linked Rubisco Subunits Can Assemble into Functional Oligomers without Impeding Catalytic Performance. Journal of Biological Chemistry 282, 3809–3818 (2007)."
Wilson 2016,26926260,"Wilson, R. H., Alonso, H. & Whitney, S. M. Evolving Methanococcoides burtonii archaeal Rubisco for improved photosynthesis and plant growth. Sci Rep 6, 22284 (2016)."
Wilson 2017,28986448,"Wilson, R. H., Martin-Avila, E., Conlan, C. & Whitney, S. M. An improved Escherichia coli screen for Rubisco identifies a protein-protein interface that can enhance CO2-fixation kinetics. J Biol Chem 293, 18–27 (2018)."
Witte 2010,10.1128/AEM.02661-09,"Witte, B. et al. Functional Prokaryotic RubisCO from an Oceanic Metagenomic Library. Appl Environ Microbiol 76, 2997–3003 (2010). "
Yamori 2006,16898026,"Yamori, W., Suzuki, K., Noguchi, K., Nakai, M. & Terashima, I. Effects of Rubisco kinetics and Rubisco activation state on the temperature dependence of the photosynthetic rate in spinach leaves from contrasting growth temperatures. Plant Cell Environ 29, 1659–1670 (2006)."
Yeoh 1980,16661586,"Yeoh, H. H., Badger, M. R. & Watson, L. Variations in K(m)(CO(2)) of Ribulose-1,5-bisphosphate Carboxylase among Grasses. Plant Physiol 66, 1110–1112 (1980)."
Yeoh 1981,16661826,"Yeoh, H. H., Badger, M. R. & Watson, L. Variations in Kinetic Properties of Ribulose-1,5-bisphosphate Carboxylases among Plants. Plant Physiol 67, 1151–1155 (1981)."
Yokota and Canvin 1986,10.1104/pp.80.2.341,"Yokota, A. & Canvin, D. T. Changes of Ribulose Bisphosphate Carboxylase/Oxygenase Content, Ribulose Bisphosphate Concentration, and Photosynthetic Activity during Adaptation of High-CO2 Grown Cells to Low-CO2 Conditions in Chlorella pyrenoidosa. Plant Physiol. 80, 341–345 (1986)."
Yoshida 2007,17675435,"Yoshida, S., Atomi, H. & Imanaka, T. Engineering of a type III rubisco from a hyperthermophilic archaeon in order to enhance catalytic performance in mesophilic host cells. Appl Environ Microbiol 73, 6254–6261 (2007)."
Young 2016,27129950,"Young, J. N. et al. Large variation in the Rubisco kinetics of diatoms reveals diversity among their carbon-concentrating mechanisms. J Exp Bot 67, 3445–3456 (2016)."
Young unpublished,na,"Young, J. N. Personal communication."
Zhang 2021,10.1186/s40643-021-00439-6,"Zhang, J. et al. Discovery of a readily heterologously expressed Rubisco from the deep sea with potential for CO2 capture. Bioresour. Bioprocess. 8, 86 (2021)."
Zhou 2019,31658746,"Zhou, Y. & Whitney, S. Directed Evolution of an Improved Rubisco; In Vitro Analyses to Decipher Fact from Fiction. Int J Mol Sci 20, 5019 (2019)."
Zhu 1998,10.1023/A:1006020424581,"Zhu, G., Jensen, R. G., Bohnert, H. J., Wildner, G. F. & Schlitter, J. Dependence of catalysis and CO2/O2 specificity of Rubisco on the carboxy-terminus of the large subunit at different temperatures. Photosynthesis Research 57, 71–79 (1998)."
this package,na,This data was averaged or compiled by the package; cite rbcmodel for this data.
